imdb_title_id,title,year,genre,duration,country,language,production_company,actors,description,avg_vote,votes,budget
tt0020410,Donna che ama,1929,Drama,73,USA,English,Metro-Goldwyn-Mayer (MGM),Greta Garbo &  Nils Asther &  Johnny Mack Brown &  Dorothy Sebastian &  Lane Chandler &  Mahlon Hamilton &  Kathlyn Williams &  Zeffie Tilbury,The wealthy Arden Stuart is bored in a party; after refusing the wedding proposal of Tommy Hewlett  she drives her car with her driver to a lonely place. She has one night stand with him ...,6.7,489,  336000
tt0020425,Fatemi la corte,1929,Comedy,98,USA,English,Metro-Goldwyn-Mayer (MGM),Elliott Nugent &  Robert Montgomery &  Cliff Edwards &  Sally Starr &  Phyllis Crane &  Dorothy Dehn &  Max Davidson &  Ann Brody &  Oscar Rudolph &  Gene Stone &  Polly Moran &  Lee Shumway,Biff and Eddie are the best of friends. They are college seniors  roommates at the fraternity  and star teammates on the USC football team. Then a flapper named Babs enters the picture. ...,5.5,200,
tt0020439,Cuori e motori,1929,Drama,76,USA,,Metro-Goldwyn-Mayer (MGM),William Haines &  Anita Page &  Ernest Torrence &  Karl Dane &  John Miljan &  Eugenie Besserer &  Polly Moran,Bill Whipple is a happy-go-lucky mechanic for MacDonald who thinks that he is the worlds greatest driver and lover. Mac has treated Bill like a son since he took him in. One day at the ...,6.1,602,
tt0020442,Io... e l'amore,1929,Comedy,76,USA,English,Metro-Goldwyn-Mayer (MGM),Buster Keaton &  Dorothy Sebastian &  Edward Earle &  Leila Hyams &  William Bechtel &  Jack Byron,An unimpressive but well intending man is given the chance to marry a popular actress  of whom he has been a hopeless fan. But what he doesn't realize is that he is being used to make the actress' old flame jealous.,7,1811,
tt0020446,The Squall,1929,Drama,105,USA,English,First National Pictures,Alice Joyce &  Richard Tucker &  Myrna Loy &  Loretta Young &  Zasu Pitts &  Carroll Nye &  Harry Cording &  George Hackathorne &  Marcia Harris &  Knute Erickson &  Nicholas Soussanin,The activities of Nubi (Myrna Loy)  a minx-like  Hungarian gypsy girl who  while on the run from her abusive husband  takes shelter in a farmhouse  where she seduces and holds in thrall all the male members of the family.,4.9,328,
tt0020451,Il vecchio e il nuovo,1929,Drama,121,Soviet Union,,Sovkino,Marfa Lapkina &  M. Ivanin &  Konstantin Vasilyev &  Vasili Buzenkov &  Nejnikov &  Chukamaryev &  Ivan Yudin &  E. Suhareva &  G. Matvei &  Efimkin &  Vyacheslav Gomolyaka &  Mikhail Gomorov &  Hurtin &  M. Palej &  Maksim Shtraukh,100.000.000 peasants - illiterate  poor  hungry. There comes a day when one woman decides that she can live old life no longer. Using ways of new Soviet state and industrial progress she changes life and labor of her village.,7.3,1296,
tt0020458,La ragazza del bacio,1929,Drama,87,USA,English,RKO Radio Pictures,Betty Compson &  John Harron &  Jack Oakie &  Ned Sparks &  Guy Buccola &  Joseph Cawthorn &  Ivan Lebedeff &  Doris Eaton &  Gus Arnheim and His Cocoanut Grove Ambassadors,A homeless and destitute violinist joins a combo to bring it success  but has problems with her love life.,6.1,337,  211000
tt0020461,The Studio Murder Mystery,1929,Crime,62,USA,English,Paramount Pictures,Neil Hamilton &  Doris Hill &  Warner Oland &  Fredric March &  Chester Conklin &  Florence Eldridge &  Guy Oliver &  Donald MacKenzie &  Gardner James &  Eugene Pallette,Philandering actor Richard Hardell is murdered at a movie studio. His jealous wife Blanche  his director Rupert Borka  and a girl he mistreated  Helen MacDonald  all have substantial ...,5.7,115,
tt0020466,Il sorriso della vita,1929,Comedy,121,USA,English,Fox Film Corporation,Janet Gaynor &  Charles Farrell &  Marjorie White &  El Brendel &  Mary Forbes &  Peter Gawthorne &  Sharon Lynn &  Frank Richardson &  Joe Brown,Molly and Bee  sweet young 'working girls ' live in a cheap room over a New York grocery store. Molly's idol  wealthy Jack Cromwell  lives in a Long Island mansion but is markedly less ...,6.5,358,
tt0020479,La bisbetica domata,1929,Comedy,63,USA,English,Elton Corporation,Mary Pickford &  Douglas Fairbanks &  Edwin Maxwell &  Joseph Cawthorn &  Clyde Cook &  Geoffrey Wardwell &  Dorothy Jordan &  Frankie Genardi,In sixteenth century Padua  Hortensio loves Bianca  the youngest daughter of Baptista. But Baptista will not allow the two to get married until his eldest daughter  the extremely headstrong...,6.3,511,  504000
